taxonid,assessmentid,kingdom,phylum,class,order,family,genus,species,infrarank,infratype,subpopulation,friendly_name,taxonomic_authority,category,criteria,possibly_extinct,possibly_extinct_wild,assessmentdate,assessors,evaluators,contributors,facilitators
17026,1306343,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Phocarctos,hookeri,,,,Phocarctos hookeri,"(Gray, 1844)",EN,A4bd,FALSE,FALSE,18-Nov-14,"Chilvers, B.L.","Goldsworthy, S.D.","Gales, N.J.","Lowry, L., Chiozza, F., Ahonen, H. & Battistoni, A."
22103,9356917,ANIMALIA,CHORDATA,MAMMALIA,SIRENIA,TRICHECHIDAE,Trichechus,manatus,,,,Trichechus manatus,"Linnaeus, 1758",VU,C1,FALSE,FALSE,30-Jun-08,"Deutsch, C.J., Self-Sullivan, C. & Mignucci-Giannoni, A.","Reynolds III, J.E. & Powell, J.A. (Sirenia Red List Authority)",,
10303,43792683,ANIMALIA,CHORDATA,MAMMALIA,SIRENIA,DUGONGIDAE,Hydrodamalis,gigas,,,,Hydrodamalis gigas,"(Zimmermann, 1780)",EX,,FALSE,FALSE,04-Apr-16,"Domning, D.","Morales-Vela, B.",,
22102,43793736,ANIMALIA,CHORDATA,MAMMALIA,SIRENIA,TRICHECHIDAE,Trichechus,inunguis,,,,Trichechus inunguis,"(Natterer, 1883)",VU,A3cd,FALSE,FALSE,28-Feb-16,"Marmontel, M., de Souza, D. & Kendall, S.","Morales-Vela, B., Castelblanco-Martínez, D.N. & Ortega-Argueta, A.","Alves dos Santos, G., Carvalho de Carvalho, C., Denkinger, J., Funi, C., Guzmán Téllez, J., Landeo, S., Maris Lazzarini, S., Leão, T., Lima, D.S., Silva Balarin, J., Sousa, M., Teran, A., Utreras, V. & de Almeida Coelho, A.G.",
4162,44199757,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Cephalorhynchus,hectori,,,,Cephalorhynchus hectori,"(van Beneden, 1881)",EN,A4d,FALSE,FALSE,01-Jul-08,"Reeves, R.R., Dawson, S.M., Jefferson, T.A., Karczmarski, L., Laidre, K., O’Corry-Crowe, G., Rojas-Bracho, L., Secchi, E.R., Slooten, E., Smith, B.D., Wang, J.Y. & Zhou, K.","Brownell Jr., R.L. & Cooke, J.",,
9561,45198537,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Gulo,gulo,,,,Gulo gulo,"(Linnaeus, 1758)",LC,,FALSE,FALSE,15-May-15,"Abramov, A.V.","Duckworth, J.W.","Maran, T. & Wozencraft, C",
12848,45199169,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Martes,martes,,,,Martes martes,"(Linnaeus, 1758)",LC,,FALSE,FALSE,03-Mar-15,"Herrero, J., Kranz, A., Skumatov, D., Abramov, A.V., Maran, T. & Monakhov, V.G.","Duckworth, J.W. & Schipper, J.","Conroy, J., Cavallini, P., Stubbe, M. & Tikhonov, A.",
13110,45199541,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Melogale,everetti,,,,Melogale everetti,"(Thomas, 1895)",EN,"B1ab(ii,iii,v)",FALSE,FALSE,03-Mar-15,"Wilting, A., Duckworth, J.W., Hearn, A. & Ross, J.","Schipper, J.","Wong, A. & Azlan J., M.",
14018,45199861,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,lutreola,,,,Mustela lutreola,"(Linnaeus, 1761)",CR,A3ce,FALSE,FALSE,03-Mar-15,"Maran, T., Skumatov, D., Gomez, A., Põdra, M., Abramov, A.V. & Dinets, V.","Schipper, J. & Duckworth, J.W.","Palazón, P., Saveljev, A., Kranz, A., Libois, R. & Aulagnier, S.",
14019,45200228,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,lutreolina,,,,Mustela lutreolina,"Robinson &amp; Thomas, 1917",LC,,FALSE,FALSE,03-Mar-15,"Duckworth, J.W., Holden, J., Eaton, J., Meijaard, E., Long, B. & Abramov, A.V.","Schipper, J.","McCarthy, J.",
14020,45200314,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,nigripes,,,,Mustela nigripes,"(Audubon &amp; Bachman, 1851)",EN,C1+2a(i); D,FALSE,FALSE,19-May-15,"Belant, J., Biggins, D., Garelle, D., Griebel, R.G. & Hughes, J.P.","Duckworth, J.W.","Gober, P. & Wells, S.",
14025,45200982,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,africana,,,,Mustela africana,"Desmarest, 1818",LC,,FALSE,FALSE,01-Mar-15,"Emmons, L. & Helgen, K.","Duckworth, J.W.",,
14026,45201088,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,felipei,,,,Mustela felipei,"Izor &amp; de la Torre, 1978",VU,C2a(i),FALSE,FALSE,10-Feb-16,"González-Maya, J.F., Emmons, L., Helgen, K. & Arias-Alzate, AAA","Hoffmann, M. & Duckworth, J.W.",,
14027,45201218,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,strigidorsa,,,,Mustela strigidorsa,"Gray, 1853",LC,,FALSE,FALSE,03-Mar-15,"Roberton, S., Duckworth, J.W., Timmins, R.J., Abramov, A.V., Chutipong, W., Choudhury, A., Willcox, D.H.A. & Dinets, V.","Schipper, J.","Yonzon, P., Coudrat, C.N.Z. & Thapa, S.",
29672,45202514,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Martes,foina,,,,Martes foina,"(Erxleben, 1777)",LC,,FALSE,FALSE,03-Mar-15,"Abramov, A.V., Kranz, A., Herrero, J., Choudhury, A. & Maran, T.","Schipper, J. & Duckworth, J.W.","Cavallini, P., Libois, R., Wozencraft, C, Fernandes, M.L., Giannatos, G., Tikhonov, A., Stubbe, M. & Yonzon, P.",
29673,45203002,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Meles,meles,,,,Meles meles,"(Linnaeus, 1758)",LC,,FALSE,FALSE,03-Mar-15,"Kranz, A., Abramov, A.V., Herrero, J. & Maran, T.","Schipper, J. & Duckworth, J.W.","Tikhonov, A., Conroy, J., Cavallini, P., Fernandes, M., Stubbe, M., Wozencraft, C & Basuony, M.I.",
29674,45203335,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,erminea,,,,Mustela erminea,"Linnaeus, 1758",LC,,FALSE,FALSE,02-May-15,"Reid, F., Helgen, K. & Kranz, A.","Duckworth, J.W.",,
29679,45203762,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,eversmanii,,,,Mustela eversmanii,"Lesson, 1827",LC,,FALSE,FALSE,03-Jan-15,"Maran, T., Skumatov, D., Abramov, A.V. & Kranz, A.","Pacifici, M.","Dinets, V., Wozencraft, C, Stubbe, M., Cavallini, P. & Tikhonov, A.",
