sName,taxonID,friendlyName,category,gName
hookeri,17026,Phocarctos hookeri,EN,Phocarctos
manatus,22103,Trichechus manatus,VU,Trichechus
gigas,10303,Hydrodamalis gigas,EX,Hydrodamalis
inunguis,22102,Trichechus inunguis,VU,Trichechus
hectori,4162,Cephalorhynchus hectori,EN,Cephalorhynchus
gulo,9561,Gulo gulo,LC,Gulo
martes,12848,Martes martes,LC,Martes
everetti,13110,Melogale everetti,EN,Melogale
lutreola,14018,Mustela lutreola,CR,Mustela
lutreolina,14019,Mustela lutreolina,LC,Mustela
nigripes,14020,Mustela nigripes,EN,Mustela
africana,14025,Mustela africana,LC,Mustela
felipei,14026,Mustela felipei,VU,Mustela
strigidorsa,14027,Mustela strigidorsa,LC,Mustela
foina,29672,Martes foina,LC,Martes
meles,29673,Meles meles,LC,Meles
erminea,29674,Mustela erminea,LC,Mustela
eversmanii,29679,Mustela eversmanii,LC,Mustela
peregusna,29680,Vormela peregusna,VU,Vormela
macrodon,40784,Neovison macrodon,EX,Neovison
moschata,41626,Melogale moschata,LC,Melogale
personata,41627,Melogale personata,LC,Melogale
capensis,41629,Mellivora capensis,LC,Mellivora
cuja,41639,Galictis cuja,LC,Galictis
vittata,41640,Galictis vittata,LC,Galictis
barbara,41644,Eira barbara,LC,Eira
libycus,41645,Ictonyx libycus,LC,Ictonyx
striatus,41646,Ictonyx striatus,LC,Ictonyx
patagonicus,41647,Lyncodon patagonicus,LC,Lyncodon
americana,41648,Martes americana,LC,Martes
flavigula,41649,Martes flavigula,LC,Martes
melampus,41650,Martes melampus,LC,Martes
zibellina,41652,Martes zibellina,LC,Martes
altaica,41653,Mustela altaica,NT,Mustela
frenata,41654,Mustela frenata,LC,Mustela
kathiah,41655,Mustela kathiah,LC,Mustela
itatsi,41656,Mustela itatsi,NT,Mustela
nudipes,41657,Mustela nudipes,LC,Mustela
putorius,41658,Mustela putorius,LC,Mustela
sibirica,41659,Mustela sibirica,LC,Mustela
vison,41661,Neovison vison,LC,Neovison
albinucha,41662,Poecilogale albinucha,LC,Poecilogale
taxus,41663,Taxidea taxus,LC,Taxidea
orientalis,41697,Melogale orientalis,LC,Melogale
anakuma,136242,Meles anakuma,LC,Meles
leucurus,136385,Meles leucurus,LC,Meles
australis,2055,Arctocephalus australis,LC,Arctocephalus
galapagoensis,2057,Arctocephalus galapagoensis,EN,Arctocephalus
pusillus,2060,Arctocephalus pusillus,LC,Arctocephalus
townsendi,2061,Arctocephalus townsendi,LC,Arctocephalus
tropicalis,2062,Arctocephalus tropicalis,LC,Arctocephalus
ursinus,3590,Callorhinus ursinus,VU,Callorhinus
cristata,6204,Cystophora cristata,VU,Cystophora
barbatus,8010,Erignathus barbatus,LC,Erignathus
jubatus,8239,Eumetopias jubatus,NT,Eumetopias
grypus,9660,Halichoerus grypus,LC,Halichoerus
leptonyx,10340,Hydrurga leptonyx,LC,Hydrurga
weddellii,11696,Leptonychotes weddellii,LC,Leptonychotes
carcinophaga,12246,Lobodon carcinophaga,LC,Lobodon
angustirostris,13581,Mirounga angustirostris,LC,Mirounga
leonina,13583,Mirounga leonina,LC,Mirounga
schauinslandi,13654,Neomonachus schauinslandi,EN,Neomonachus
tropicalis,13655,Neomonachus tropicalis,EX,Neomonachus
cinerea,14549,Neophoca cinerea,EN,Neophoca
rosmarus,15106,Odobenus rosmarus,VU,Odobenus
rossii,15269,Ommatophoca rossii,LC,Ommatophoca
vitulina,17013,Phoca vitulina,LC,Phoca
largha,17023,Phoca largha,LC,Phoca
forsteri,41664,Arctocephalus forsteri,LC,Arctocephalus
californianus,41666,Zalophus californianus,LC,Zalophus
wollebaeki,41668,Zalophus wollebaeki,EN,Zalophus
caspica,41669,Pusa caspica,EN,Pusa
fasciata,41670,Histriophoca fasciata,LC,Histriophoca
groenlandicus,41671,Pagophilus groenlandicus,LC,Pagophilus
hispida,41672,Pusa hispida,LC,Pusa
sibirica,41676,Pusa sibirica,LC,Pusa
mysticetus,2467,Balaena mysticetus,LC,Balaena
acutorostrata,2474,Balaenoptera acutorostrata,LC,Balaenoptera
edeni,2476,Balaenoptera edeni,LC,Balaenoptera
physalus,2478,Balaenoptera physalus,VU,Balaenoptera
bonaerensis,2480,Balaenoptera bonaerensis,NT,Balaenoptera
bairdii,2763,Berardius bairdii,LC,Berardius
marginata,3778,Caperea marginata,LC,Caperea
eutropia,4160,Cephalorhynchus eutropia,NT,Cephalorhynchus
heavisidii,4161,Cephalorhynchus heavisidii,NT,Cephalorhynchus
leucas,6335,Delphinapterus leucas,LC,Delphinapterus
robustus,8097,Eschrichtius robustus,LC,Eschrichtius
australis,8153,Eubalaena australis,LC,Eubalaena
attenuata,8551,Feresa attenuata,LC,Feresa
macrorhynchus,9249,Globicephala macrorhynchus,LC,Globicephala
melas,9250,Globicephala melas,LC,Globicephala
griseus,9461,Grampus griseus,LC,Grampus
ampullatus,10707,Hyperoodon ampullatus,NT,Hyperoodon
planifrons,10708,Hyperoodon planifrons,LC,Hyperoodon
geoffrensis,10831,Inia geoffrensis,EN,Inia
hosei,11140,Lagenodelphis hosei,LC,Lagenodelphis
acutus,11141,Lagenorhynchus acutus,LC,Lagenorhynchus
albirostris,11142,Lagenorhynchus albirostris,LC,Lagenorhynchus
australis,11143,Lagenorhynchus australis,LC,Lagenorhynchus
cruciger,11144,Lagenorhynchus cruciger,LC,Lagenorhynchus
obliquidens,11145,Lagenorhynchus obliquidens,LC,Lagenorhynchus
borealis,12125,Lissodelphis borealis,LC,Lissodelphis
peronii,12126,Lissodelphis peronii,LC,Lissodelphis
novaeangliae,13006,Megaptera novaeangliae,LC,Megaptera
bidens,13241,Mesoplodon bidens,LC,Mesoplodon
bowdoini,13242,Mesoplodon bowdoini,DD,Mesoplodon
carlhubbsi,13243,Mesoplodon carlhubbsi,DD,Mesoplodon
